Date,Open,High,Low,Close,Adj Close,Volume,Returns,Target
2009-07-20,86.27,88.88,86.26,88.23,87.79333333333334,6056600,0.027345453890528837,1
2009-07-21,88.52,89.01,87.4,89.01,88.84666666666668,7728600,0.008801681736826845,1
2009-07-22,88.65,89.23,87.78,88.79,88.89,5329600,-0.002474691926604657,-1
2009-07-23,89.84,94.4,89.59,93.87,92.70333333333333,19162100,0.05563681530466509,1
2009-07-24,87.6,88.9,85.5,86.49,87.66333333333334,19204600,-0.08188204603048004,-1
2009-07-27,86.24,86.49,83.56,84.24,85.65666666666665,11279300,-0.026358932492700476,-1
2009-07-28,83.84,85.64,82.6,84.98,84.82000000000001,8774900,0.008746066860945588,1
2009-07-29,84.47,85.5,83.52,84.34,84.77,6502900,-0.007559686368251705,-1
2009-07-30,85.64,87.25,85.17,86.09,86.32666666666667,7253200,0.020537012351449488,1
2009-07-31,85.76,86.75,84.62,85.76,86.08999999999999,5886900,-0.003840563347371394,-1
2009-08-03,86.56,88.2,86.56,87.44,87.39999999999999,6663000,0.01940014654579117,1
2009-08-04,87.48,87.48,84.93,85.8,86.92,6177900,-0.018933837374366522,-1
2009-08-05,85.64,85.75,83.02,84.29,85.22666666666667,7279400,-0.017755772484525686,-1
2009-08-06,84.31,84.84,83.05,84.47,84.54,4693000,0.0021332077300144367,1
2009-08-07,84.1,85.96,84.1,85.32,85.12666666666667,5628000,0.010012451863744458,1
2009-08-10,85.01,85.47,83.27,84.44,84.97333333333334,4440600,-0.01036767062302993,-1
2009-08-11,83.64,84.4,82.45,83.56,83.86666666666667,5025000,-0.010476286291754818,-1
2009-08-12,83.42,86.6,83.38,85.96,85.32666666666665,5619400,0.02831713508594455,1
2009-08-13,85.72,86.37,84.07,84.6,85.56333333333333,5712400,-0.015947805162132105,-1
2009-08-14,84.11,84.17,82.78,83.58,83.95333333333333,4924700,-0.012130009592408224,-1
2009-08-17,81.16,81.78,80.25,81.06,81.33333333333333,6888600,-0.030614635819606748,-1
2009-08-18,81.41,82.69,80.79,82.12,82.07333333333334,5884400,0.012991970950570336,1
2009-08-19,80.91,83.0,80.49,83.0,82.30333333333333,5170600,0.010659015645864977,1
2009-08-20,82.98,84.35,82.66,84.09,83.80666666666666,5375000,0.01304704604820863,1
2009-08-21,84.78,85.06,83.54,85.0,84.94666666666667,6130700,0.010763602645509856,1
2009-08-24,85.17,85.59,84.24,84.5,85.08666666666666,4723200,-0.005899722127188271,-1
2009-08-25,84.66,86.34,83.95,84.19,85.06333333333333,4791000,-0.0036753850135555345,-1
2009-08-26,84.1,84.76,83.38,84.0,84.28666666666668,3613800,-0.0022593505062590024,-1
2009-08-27,84.01,84.85,83.14,84.31,84.39,3997700,0.003683683091270609,1
2009-08-28,84.78,84.99,82.57,82.76,84.17666666666666,4620700,-0.018555629057241996,-1
2009-08-31,81.93,81.95,80.35,81.19,81.69,5263800,-0.019152766002987254,-1
2009-09-01,80.74,82.42,79.0,79.16,80.77333333333333,6245800,-0.02532096613999012,-1
2009-09-02,79.04,80.15,77.8,78.14,79.11,6512700,-0.012969031107440345,-1
2009-09-03,78.39,78.96,77.51,78.46,78.60333333333334,4140200,0.004086851154481839,1
2009-09-04,78.27,79.78,77.63,78.87,78.97333333333334,4671500,0.00521198662849317,1
2009-09-08,79.86,81.04,78.87,80.9,80.60000000000001,7037600,0.02541289665454649,1
2009-09-09,80.6,82.63,80.5,82.24,81.82333333333332,6776200,0.01642797764240882,1
2009-09-10,82.33,84.07,82.3,83.85,83.41666666666666,7023100,0.01938768656236292,1
2009-09-11,84.44,84.9,83.76,84.54,84.62666666666667,6006900,0.008195306869426112,1
2009-09-14,83.81,84.57,83.46,83.86,84.08,3572000,-0.008076053396027315,-1
2009-09-15,84.17,84.41,82.79,83.55,84.04333333333334,4446800,-0.0037034867012139404,-1
2009-09-16,85.91,90.98,85.9,90.7,89.19666666666666,13114300,0.08211210207968826,1
2009-09-17,90.75,91.19,89.0,90.44,90.79333333333334,7872700,-0.0028707097113218256,-1
2009-09-18,90.74,91.0,89.47,90.28,90.67333333333333,6769500,-0.0017706954604340933,-1
